feature,catboost,mean_importance,max_importance,min_importance,std_importance,vote_count,rank,cumulative_mean
stddev_lag1,0.016643423988062064,0.016643423988062064,0.016643423988062064,0.016643423988062064,,0,205,99.87598548994382
ema_fast_lag3,0.016164985416860227,0.016164985416860227,0.016164985416860227,0.016164985416860227,,0,206,99.89215047536068
high_low,0.014446160442408687,0.014446160442408687,0.014446160442408687,0.014446160442408687,,0,207,99.90659663580308
dx,0.0138875012239116,0.0138875012239116,0.0138875012239116,0.0138875012239116,,0,208,99.92048413702699
roc_lag5,0.012640194417175423,0.012640194417175423,0.012640194417175423,0.012640194417175423,,0,209,99.93312433144416
stoch_k_lag3,0.010357312481220135,0.010357312481220135,0.010357312481220135,0.010357312481220135,,0,210,99.94348164392538
stoch_k_lag5,0.008579183945971788,0.008579183945971788,0.008579183945971788,0.008579183945971788,,0,211,99.95206082787135
daily_return_lag2,0.008343531335138358,0.008343531335138358,0.008343531335138358,0.008343531335138358,,0,212,99.96040435920649
mfi_lag1,0.008009461478916334,0.008009461478916334,0.008009461478916334,0.008009461478916334,,0,213,99.96841382068541
minus_dm,0.00754307193093468,0.00754307193093468,0.00754307193093468,0.00754307193093468,,0,214,99.97595689261635
momentum_5d,0.0075399470474154994,0.0075399470474154994,0.0075399470474154994,0.0075399470474154994,,0,215,99.98349683966377
stoch_d_lag2,0.006294374016097953,0.006294374016097953,0.006294374016097953,0.006294374016097953,,0,216,99.98979121367987
daily_return_lag5,0.006018250150138705,0.006018250150138705,0.006018250150138705,0.006018250150138705,,0,217,99.99580946383
low_close,0.004190536170041092,0.004190536170041092,0.004190536170041092,0.004190536170041092,,0,218,100.00000000000004
rsi,0.0,0.0,0.0,0.0,,0,219,100.00000000000004
rsi_change_1d,0.0,0.0,0.0,0.0,,0,220,100.00000000000004
price_change,0.0,0.0,0.0,0.0,,0,221,100.00000000000004
low_diff,0.0,0.0,0.0,0.0,,0,222,100.00000000000004
high_close,0.0,0.0,0.0,0.0,,0,223,100.00000000000004
momentum_5d_lag1,0.0,0.0,0.0,0.0,,0,224,100.00000000000004
stock_vs_spy_5d_lag2,0.0,0.0,0.0,0.0,,0,225,100.00000000000004
rsi_acceleration,0.0,0.0,0.0,0.0,,0,226,100.00000000000004
momentum_5d_lag5,0.0,0.0,0.0,0.0,,0,227,100.00000000000004
momentum_5d_lag3,0.0,0.0,0.0,0.0,,0,228,100.00000000000004
tr,0.0,0.0,0.0,0.0,,0,229,100.00000000000004
momentum_5d_lag2,0.0,0.0,0.0,0.0,,0,230,100.00000000000004
high_diff,0.0,0.0,0.0,0.0,,0,231,100.00000000000004
macd_lag3,0.0,0.0,0.0,0.0,,0,232,100.00000000000004
bb_middle_lag1,0.0,0.0,0.0,0.0,,0,233,100.00000000000004
volatility_expansion,0.0,0.0,0.0,0.0,,0,234,100.00000000000004
rsi_lag1,0.0,0.0,0.0,0.0,,0,235,100.00000000000004
insider_buy_momentum,0.0,0.0,0.0,0.0,,0,236,100.00000000000004
cci_lag2,0.0,0.0,0.0,0.0,,0,237,100.00000000000004
cci_lag3,0.0,0.0,0.0,0.0,,0,238,100.00000000000004
cci_lag5,0.0,0.0,0.0,0.0,,0,239,100.00000000000004
mfi_lag5,0.0,0.0,0.0,0.0,,0,240,100.00000000000004
willr_lag2,0.0,0.0,0.0,0.0,,0,241,100.00000000000004
stoch_k_lag1,0.0,0.0,0.0,0.0,,0,242,100.00000000000004
